buurtcode;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bedrijfswagens_gewicht_methode;bedrijfswagens_pc4_gelijk_verdeeld;bedrijfswagens_pc4_dekkingsklasse;bedrijfswagens_rdw_peildatum;bedrijfswagens_cbs_split_periode
BU08880000;190;11;186;190;11;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08880100;167;11;30;167;2;11;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08880109;286;60;286;396;60;68;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350000;52;3;45;52;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350001;10;1;10;70;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350002;31;2;31;32;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350003;103;6;52;103;3;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350004;72;4;51;72;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350005;31;1;31;39;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350006;84;3;57;84;1;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350100;76;6;19;76;2;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350101;15;1;7;15;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350102;32;1;10;32;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350103;11;0;7;11;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350104;28;1;18;28;0;1;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09350105;14;1;14;130;1;9;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09350200;87;3;59;87;2;3;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09350201;60;1;58;60;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350202;15;1;15;15;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350203;15;1;15;16;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350204;42;2;36;42;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350205;42;2;42;55;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350206;35;5;35;69;5;9;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350207;87;12;54;87;7;12;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350208;34;1;34;57;1;2;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09350209;103;2;96;103;2;2;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09350300;14;0;14;61;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350301;88;2;18;88;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09350302;11;0;11;33;0;1;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09350303;14;0;14;39;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350304;34;5;33;34;4;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09350400;109;1;109;117;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350401;30;1;29;30;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350402;178;7;89;178;2;7;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09350403;245;27;188;245;21;27;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350404;122;14;122;192;14;21;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350405;112;3;112;153;3;3;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09350406;95;8;95;139;8;12;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350500;245;27;245;325;27;36;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350501;41;3;41;65;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350502;81;5;57;81;4;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350503;306;34;220;306;24;34;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09350600;300;37;269;300;34;37;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350601;200;25;200;258;25;32;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350602;186;4;181;186;4;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350603;158;13;72;158;6;13;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350604;15;1;15;70;1;2;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09380000;18;0;18;183;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380001;7;0;7;43;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380002;34;1;34;35;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380003;15;0;15;137;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380009;7;0;7;126;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380100;53;7;53;59;7;8;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380109;134;19;128;134;18;19;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380200;60;8;60;101;8;14;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380201;86;12;44;86;6;12;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380202;31;2;31;48;2;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380203;6;0;6;35;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380204;6;0;6;24;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380205;62;2;43;62;1;2;bedrijfsvestigingen_totaal;False;4.0;2026-07-08;2023JJ00
BU09380206;63;3;20;63;1;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09710000;63;3;63;114;3;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710001;63;3;63;66;3;3;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09710002;128;9;93;128;6;9;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710003;109;5;18;109;1;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09710004;84;4;84;125;4;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09710005;42;2;42;52;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710100;597;92;316;597;48;92;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710101;58;9;58;198;9;30;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710102;60;9;60;230;9;35;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710200;51;3;51;64;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710201;51;3;40;51;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710202;149;8;138;149;7;8;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710203;77;4;66;77;4;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09940101;0;0;0;23;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09940103;956;33;66;956;3;33;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU09940400;0;0;0;43;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09940401;0;0;0;58;0;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09940403;0;0;0;29;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09940404;0;0;0;40;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU18830507;406;37;406;489;37;48;bedrijfsvestigingen_totaal;False;6.0;2026-07-08;2023JJ00
BU18830606;50;5;50;71;5;7;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU18830700;78;4;78;88;4;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030000;74;3;74;86;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030001;19;1;19;22;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030002;19;1;19;35;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030003;205;9;34;205;2;9;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030004;19;1;15;19;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030005;19;1;11;19;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030009;42;4;42;216;4;17;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU19030100;151;42;147;151;41;42;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030101;50;14;28;50;8;14;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030203;23;2;19;23;2;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030205;9;1;9;62;1;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030300;39;2;25;39;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030301;19;1;3;19;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030302;46;3;9;46;1;3;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU19030303;6;0;6;11;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030309;48;3;48;99;3;6;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030400;63;7;5;63;1;7;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030401;48;6;8;48;1;6;bedrijfsvestigingen_totaal;False;3.0;2026-07-08;2023JJ00
BU19030402;14;2;5;14;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030403;11;1;10;11;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030409;25;4;25;149;4;20;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU19030500;23;0;23;24;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820001;33;2;33;92;2;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820002;33;2;27;33;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820003;22;1;22;34;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820004;16;1;16;25;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820005;16;1;16;19;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820006;78;3;13;78;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08820007;193;11;54;193;3;11;bedrijfsvestigingen_totaal;False;5.0;2026-07-08;2023JJ00
BU08820008;78;3;78;100;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820009;16;1;16;29;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820010;16;1;16;34;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820011;16;1;16;37;1;1;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU08820012;156;5;21;156;1;5;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08820020;71;3;71;231;3;8;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08820101;57;2;34;57;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820102;28;1;28;39;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820103;28;1;28;33;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820104;20;1;11;20;1;1;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU08820105;27;1;19;27;1;1;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU08820120;52;2;52;134;2;6;bedrijfsvestigingen_totaal;False;5.0;2026-07-08;2023JJ00
BU08820201;0;0;0;104;0;12;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820202;0;0;0;26;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820203;0;0;0;11;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820204;0;0;0;32;0;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820205;0;0;0;111;0;12;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820206;0;0;0;104;0;12;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08820207;0;0;0;73;0;8;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08820220;579;62;69;579;8;62;oppervlakte;False;3.0;2026-07-08;2023JJ00
BU08880001;26;2;26;59;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08880002;113;1;113;113;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08880101;13;1;13;66;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08880102;50;3;18;50;1;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08880103;62;4;38;62;2;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990124;5;0;5;21;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990126;5;0;5;43;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990134;11;1;11;31;1;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990135;11;1;11;34;1;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990136;140;13;80;140;8;13;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990144;11;1;11;24;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990201;52;1;18;52;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990202;20;0;14;20;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990203;39;1;24;39;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990204;26;1;22;26;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990205;39;1;19;39;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990207;3;0;3;14;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990208;3;0;3;15;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990209;42;1;13;42;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990225;16;0;16;17;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990242;10;0;10;47;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990243;3;0;3;50;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990314;0;0;0;8;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990315;0;0;0;3;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990316;0;0;0;15;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990317;0;0;0;16;0;1;bedrijfsvestigingen_totaal;False;4.0;2026-07-08;2023JJ00
BU08990318;0;0;0;6;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990332;213;10;9;213;1;10;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU08990333;0;0;0;36;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990337;123;8;54;123;4;8;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU08990339;0;0;0;46;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990340;0;0;0;36;0;2;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08990345;0;0;0;1;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990428;2;0;2;2;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990429;0;0;0;6;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990430;0;0;0;13;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990431;0;0;0;7;0;0;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08990438;230;11;37;230;2;11;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU08990441;0;0;0;38;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990506;3;0;3;15;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990510;35;1;16;35;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990511;16;0;9;16;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990512;69;2;11;69;0;2;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08990513;2;0;2;9;0;0;bedrijfsvestigingen_hj;False;5.0;2026-07-08;2023JJ00
BU08990519;5;0;5;29;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990520;4;0;4;14;0;0;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU08990521;10;0;10;11;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990522;0;0;0;4;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990523;1;0;1;8;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990527;69;2;37;69;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09171000;38;4;38;60;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171001;61;3;23;61;1;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09171100;50;1;50;82;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171101;99;2;61;99;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171200;101;4;101;108;4;4;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09171201;152;4;146;152;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171300;57;6;57;164;6;17;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171301;118;13;75;118;8;13;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171400;278;29;237;278;24;29;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09172000;20;1;20;65;1;5;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09172001;53;0;32;53;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172002;39;2;39;49;2;3;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09172003;106;1;9;106;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09172004;53;0;16;53;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172100;42;4;42;51;4;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172101;84;8;60;84;5;8;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172200;18;1;18;52;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172201;20;2;18;20;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172300;47;0;47;237;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09172400;63;6;58;63;5;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172401;38;3;38;83;3;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172402;139;9;36;139;3;9;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU09173000;21;0;21;32;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173001;31;1;31;52;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173002;11;0;11;22;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173100;10;0;10;28;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173101;21;0;21;25;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173102;10;0;10;23;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173103;62;1;25;62;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173200;21;1;21;74;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173201;107;6;28;107;1;6;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09173202;43;2;43;71;2;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173203;64;3;64;64;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173300;33;1;26;33;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173301;11;0;11;13;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173302;11;0;9;11;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173303;44;1;16;44;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173400;11;0;11;24;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173500;240;5;171;240;3;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09173600;105;2;105;119;2;2;bedrijfsvestigingen_totaal;False;3.0;2026-07-08;2023JJ00
BU09173601;16;1;16;40;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173602;46;2;20;46;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09173603;46;2;20;46;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09173700;27;1;25;27;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173701;26;1;15;26;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173800;11;0;11;26;0;1;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09173801;41;1;41;54;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173900;32;1;32;39;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173901;22;1;22;34;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173902;43;2;30;43;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173903;54;2;35;54;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09174000;50;2;40;50;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09174100;33;2;33;33;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09174101;32;2;32;33;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09174102;80;7;80;85;6;7;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09174103;20;3;20;48;3;4;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU09174200;284;72;284;297;72;75;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280000;364;23;261;364;17;23;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280001;52;3;52;92;3;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280002;172;13;151;172;11;13;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280003;61;4;61;126;4;8;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09280004;78;11;78;83;11;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280009;78;6;78;148;6;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280100;222;10;222;252;10;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280101;28;0;28;34;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280102;45;0;45;74;0;1;bedrijfsvestigingen_hj;False;5.0;2026-07-08;2023JJ00
BU09280103;116;3;73;116;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280104;33;1;33;75;1;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280105;129;6;89;129;4;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280200;171;17;93;171;9;17;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280201;20;2;20;30;2;3;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09280202;33;3;33;107;3;10;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280203;95;5;64;95;2;5;bedrijfsvestigingen_hj;False;6.0;2026-07-08;2023JJ00
BU09280204;92;2;39;92;0;2;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09280205;55;0;55;59;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09650000;45;3;34;45;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09650001;15;1;12;15;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09650002;15;1;10;15;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
